Latitude,Longitude,Carbohydrate,Lignin,Lignin_cellulose,Temperature
39.23550963,-121.2836963,0.017296361,0.001949472,0.019245832,15.6
39.23550963,-121.2836963,0.01513009,0.001946273,0.017076364,15.6
38.95,-106.95,0.011429532,0.002490306,0.013919838,2.45
38.95,-106.95,0.010991148,0.001927883,0.012919031,2.45
38.95,-106.95,0.010865333,0.00235091,0.013216243,2.45
38.95,-106.95,0.010474691,0.002151675,0.012626366,2.45
38.95,-106.95,0.012726473,0.002050153,0.014776625,2.45
38.95,-106.95,0.010975157,0.002466354,0.013441511,2.45
38.95,-106.95,0.008890274,0.001939389,0.010829662,2.45
38.95,-106.95,0.011941593,0.002525578,0.014467172,2.45
38.95,-106.95,0.009979212,0.00200151,0.011980722,2.45
38.95,-106.95,0.011349416,0.002107177,0.013456593,2.45
38.95,-106.95,0.009077257,0.001866307,0.010943565,2.45
38.95,-106.95,0.009690264,0.00196885,0.011659114,2.45
38.95,-106.95,0.009901898,0.002168332,0.01207023,2.45
38.95,-106.95,0.009829708,0.002042817,0.011872525,2.45
38.95,-106.95,0.009466638,0.002192935,0.011659573,2.45
38.95,-106.95,0.008833486,0.002389984,0.01122347,2.45
38.95,-106.95,0.009842716,0.002373391,0.012216107,2.45
38.95,-106.95,0.009910024,0.002278099,0.012188123,2.45
38.95,-106.95,0.010430594,0.00241237,0.012842963,2.45
38.95,-106.95,0.01141609,0.00233305,0.01374914,2.45
38.95,-106.95,0.009567754,0.002440932,0.012008687,2.45
38.95,-106.95,0.01075819,0.002158279,0.012916469,2.45
38.95,-106.95,0.009310005,0.002201524,0.011511529,2.45
38.95,-106.95,0.011489001,0.002365584,0.013854585,2.45
38.95,-106.95,0.01217826,0.002486802,0.014665061,2.45
38.95,-106.95,0.009168309,0.00206804,0.011236349,2.45
38.95,-106.95,0.008866087,0.002354991,0.011221078,2.45
38.95,-106.95,0.011865101,0.002234852,0.014099953,2.45
38.95,-106.95,0.009013972,0.002076556,0.011090528,2.45
38.95,-106.95,0.009092856,0.002398443,0.011491299,2.45
38.95,-106.95,0.009424915,0.002300411,0.011725327,2.45
38.95,-106.95,0.009624471,0.001752618,0.011377089,2.45
